rule_name,link_number,link,rulebook_page,rule_description
Directly Towards & Directly Away,11,https://tow.whfb.app/general-principles/directly-towards-and-directly-away,"Rulebook, p. 92","A unit may be required to move directly towards, or directly away from, another unit or object. To do so, draw an imaginary line between the centre of the moving unit and the centre of the unit or object it is moving towards or away from. As the unit moves, its centre moves along this line."
Dice,12,https://tow.whfb.app/general-principles/dice,"Rulebook, p. 93",Warhammer: the Old World uses dice of different types to determine the outcome of various actions and events. These are:D6Artillery & Scatter DiceDice RollingModifying Dice RollsNatural RollsRolling OffRe-rolls
D6,13,https://tow.whfb.app/general-principles/d6,"Rulebook, p. 93","The most frequently used dice is a regular six-sided dice, marked 1 to 6. It is common for the '6' to be replaced by a logo on many dice.D3The rules may call for a D3 to be rolled, but an actual three-sided dice is not necessary. To roll a D3, simply roll a D6 and half the result, rounding fractions up."
Artillery & Scatter Dice,14,https://tow.whfb.app/general-principles/artillery-and-scatter-dice,"Rulebook, p. 93","Warhammer: the Old World uses two special dice: the Artillery dice (marked 2, 4, 6, 8, 10 and Misfire) and a Scatter dice (marked with arrows and Hit! symbols). These are often used together to represent the effects of war machines. Sometimes, the Scatter dice is used with one or more D6 to determine a random direction and distance."
Dice Rolling,15,https://tow.whfb.app/general-principles/dice-rolling,"Rulebook, p. 93","During a game, you will be required to make many different dice rolls. The rules will often use a specific term or abbreviation to describe the dice roll. These are defined as follows:Single Dice RollsIf the rules say 'roll a D6', simply roll a single six-sided dice.Target Number RollsThe rules will often require you to roll a specific number followed by a '+'. This is a 'target number roll'. If you are required to roll a 4+, for example, a roll of 4, 5 or 6 on a D6 would be a success, but a roll of 1, 2 or 3 would not.Multiple Dice RollsThe rules may require you to roll 2D6, 3D6 and so forth. In such cases, simply roll the number of D6 indicated and add the results together. This is a multiple dice roll."
Modifying Dice Rolls,16,https://tow.whfb.app/general-principles/modifying-dice-rolls,"Rulebook, p. 93","To modify a dice roll, simply roll the dice and then add or subtract the modifier(s) shown, effectively changing the result of the roll. If the rules ever instruct you to divide a dice roll, any fractions are rounded up, unless the rules state otherwise. Modifiers are applied after division or multiplication."
Natural Rolls,17,https://tow.whfb.app/general-principles/natural-rolls,"Rulebook, p. 93","The term 'natural' roll describes the actual number shown once a dice has been rolled. In other words, a natural roll is the result before any modifiers are applied."
Rolling Off,18,https://tow.whfb.app/general-principles/rolling-off,"Rulebook, p. 93","The rules may call for players to 'roll-off'. To do this, each player rolls a dice (usually a D6) and the highest score wins. In the case of a tie, roll again unless otherwise instructed."
Re-rolls,19,https://tow.whfb.app/general-principles/re-rolls,"Rulebook, p. 93","In some situations, the rules may allow you to re-roll a dice. This is exactly what it sounds like – pick up the dice and roll it again. You must accept the result of the re-roll, even if it is worse than the first. No single dice can be re-rolled more than once, regardless of the source of the re-roll.If you re-roll a multiple dice roll, you must re-roll all of the dice, unless the rule granting the re-roll specifies otherwise."
The Most Important Rule,20,https://tow.whfb.app/general-principles/the-most-important-rule,"Rulebook, p. 93","Warhammer: the Old World is a complex game and, as such, players will occasionally disagree in their interpretation of the rules. Should disagreements arise, players are encouraged to look up the rule(s) in question, reach an agreement and move on. Should this prove impossible, a roll-off should determine whose interpretation will apply for the remainder of the game. What matters more than any rule is that players enjoy their game and that rivalries remain friendly!"
Templates,21,https://tow.whfb.app/general-principles/templates,"Rulebook, p. 95","In Warhammer: the Old World, templates are used to represent the effect of certain weapons:Blast TemplatesA blast template is a round template 3"" or 5"" in diameter.Flame TemplatesA flame template is a teardrop-shaped template, approximately 8"" in length.These templates are used to determine which models are hit by an attack that has an area of effect or blast radius. If an attack uses a template, the rules will explain how to position it, and how it might scatter."
Risk of Being Hit,22,https://tow.whfb.app/general-principles/risk-of-being-hit,"Rulebook, p. 95","To determine which models risk being hit by a template, hold it in place and look to see which models' bases lie underneath it:A model whose base lies completely underneath a template, or partially underneath the central hole of a blast template, is hit automatically.A model whose base lies partially underneath a template is hit on a D6 roll of 4+."
Scatter,23,https://tow.whfb.app/general-principles/scatter,"Rulebook, p. 95","A rule may call for an object to be placed and then 'scattered'. To do so:Place the object on the battlefield, as instructed by the rule. Roll a Scatter dice to determine a direction, and any other dice required by the rule to determine a distance (in inches).If a 'Hit!' is rolled on the Scatter dice, the object does not move – leave it in place and resolve the rest of the rule.If an arrow is rolled, move the object the distance (in inches) indicated by the roll of the other dice in the direction indicated, ignoring intervening terrain, units, etc., unless the rule states otherwise. With the object's final position determined, resolve the rest of the rule.Fig 95.1 - The Scatter dice shows a Hit, so the Blast template does not move - the D6 roll is ignored.Fig 95.2 - The Scatter dice shows an arrow, so the Blast template is moved in that direction the distance shown on the D6."
Unusual Situations,24,https://tow.whfb.app/general-principles/unusual-situations,"Warhammer: The Old World FAQ & Errata, p. 8","This rule does not appear in the rulebook but is included in the Warhammer: The Old World FAQ & Errata and is worth repeating here.Warhammer: the Old World is a complex game of manoeuvre and counter manoeuvre between tightly formed battle lines of densely packed infantry and cavalry. It is to be expected that unusual situations will arise when units get in one another's way, interfering with movement, shooting, combat and so forth.To deal with this, we encourage players to resolve uncertainties in a way that keeps the game flowing, or to seek the opinion of an impartial third party (at an organised event, where such situations can take on greater significance, this is the role of the event organiser or the umpires, and players should always defer to the ruling of such an official, as is right and honourable – only the most dastardly rapscallion would argue with such an exemplar of the hobby).If such resolution is impossible, the simplest solution is to rule that the unit cannot do the thing, by which we mean it cannot make the move, cannot take the shot, and so forth. As stated in The Most Important Rule, what matters more than any rule is that players enjoy their game and that rivalries remain friendly!"
Model Profiles,25,https://tow.whfb.app/model-profiles,"Rulebook, p. 96","The Citadel miniatures used to play games of Warhammer: the Old World are referred to as 'models' in the rules that follow. Models represent a huge variety of troops, each with its own skills and capabilities. To reflect this, each model has its own characteristics profile."
Characteristics Profile,26,https://tow.whfb.app/model-profiles/characteristics-profile,"Rulebook, p. 96",Each model in Warhammer: the Old World has a profile of nine characteristics:MWSBSSTWIALdSoldier of the Empire433331317These are used to describe the various attributes of different models. All characteristics are rated on a scale from 0 to 10 – they cannot go below 0 and only in the rarest of cases will they rise above 10. These characteristics are:Movement (M)Weapon Skill (WS)Ballistic Skill (BS)Strength (S)Toughness (T)Wounds (W)Initiative (I)Attacks (A)Leadership (Ld)
Movement (M),27,https://tow.whfb.app/model-profiles/movement,"Rulebook, p. 96","This shows the number of inches a model can move on the battlefield under normal circumstances. For example, a Man with a Movement of 4 (M4) can move up to 4""."
Weapon Skill (WS),28,https://tow.whfb.app/model-profiles/weapon-skill,"Rulebook, p. 96","This defines how skilled a warrior is with their weapons, or how determined and vicious a monster is."
Ballistic Skill (BS),29,https://tow.whfb.app/model-profiles/ballistic-skill,"Rulebook, p. 96",This shows how accomplished a model is with ranged weapons such as bows or handguns.
Strength (S),30,https://tow.whfb.app/model-profiles/strength,"Rulebook, p. 96",Strength gives a measure of how strong a model is and how easily it can hurt an enemy it has struck in combat.
Toughness (T),31,https://tow.whfb.app/model-profiles/toughness,"Rulebook, p. 96","This is a measure of a model's ability to resist physical damage and pain, and reflects such factors as the resilience of a creature's flesh and its ability to shrug off injury."
Wounds (W),32,https://tow.whfb.app/model-profiles/wounds,"Rulebook, p. 96",This shows how much damage a model can take before it succumbs to its injuries. Most human-sized models have a single Wound. Large monsters and mighty heroes able to withstand more damage will usually have more Wounds.
Initiative (I),33,https://tow.whfb.app/model-profiles/initiative,"Rulebook, p. 96","This indicates how fast a model can react. In combat, Initiative dictates the order in which models fight."
Attacks (A),34,https://tow.whfb.app/model-profiles/attacks,"Rulebook, p. 96","This shows the number of attacks a model makes in combat. Most models have a single Attack. Elite troops, monsters or heroes may be able to strike several times and will usually have more Attacks."
Leadership (Ld),35,https://tow.whfb.app/model-profiles/leadership,"Rulebook, p. 96","Leadership shows how courageous, determined and self-controlled a model is. A creature with a low Leadership characteristic is very unruly or cowardly, to say the least!"
Split Profiles (Model Profiles),36,https://tow.whfb.app/model-profiles/split-profiles-model-profiles,"Rulebook, p. 97","Some models have two or more rows on their characteristics profile, often with gaps in each (shown as a dash ' - '). Each row represents a different model, combined together into a single profile. For example, one row might represent a rider, the next their mount. Split profiles are explained in greater detail in the advanced rules."
Characteristics of Zero,37,https://tow.whfb.app/model-profiles/characteristics-of-zero,"Rulebook, p. 97","If a model has a characteristic of '0', it has no ability whatsoever in what the characteristic represents. This is seen most often with Ballistic Skill, as many models simply lack the ability to make any form of ranged attack.If any model or object has a Weapon Skill of 0 then it is unable to defend itself in combat, and any blows struck against it will therefore automatically hit. If at any time a model's Strength, Toughness or Wounds characteristic is reduced to 0, it is slain and removed from play."
Characteristic Tests,38,https://tow.whfb.app/model-profiles/characteristic-tests,"Rulebook, p. 97","A model will sometimes be called upon to make a characteristic test. Such a test could be made against any characteristic the model has. For example, a Toughness test is a characteristic test.To make a characteristic test, roll a D6 and compare the result to the relevant characteristic on the model's profile. If the result is equal to or less than the value of the characteristic, the test is passed. If, however, the result is greater, the test has been failed.Where a model (or unit) has more than one value for the same characteristic, use the highest value.Automatic Pass and FailWhen making a characteristic test a natural roll of 6 is always a failure, and a natural 1 is always a success, regardless of any other modifiers. Additionally, if the model has a characteristic of 0 or ' - ' it automatically fails the test."
Leadership Tests,39,https://tow.whfb.app/model-profiles/leadership-tests,"Rulebook, p. 97","At various times, a model or unit might be called upon to make a Leadership test, or to otherwise test against Leadership in some way.To make a Leadership test, roll 2D6. If the result is equal to or less than the model's Leadership value, then the test has been passed. If the result is greater than the model's Leadership value, the test has been failed. This will all too often result in the unit fleeing.Whenever Leadership is used, a unit that contains models with different Leadership values will always use the highest – warriors naturally look to the most steadfast of their number for guidance.Automatic Pass and FailWhen making a Leadership test a natural roll of 12 (i.e., rolling a double 6) is always considered to be a fail, regardless of any modifiers that might apply, whereas a natural roll of 2 (i.e., rolling a double 1) is always considered to be a pass."
Modifying Characteristics,40,https://tow.whfb.app/model-profiles/modifying-characteristics,"Rulebook, p. 97","The rules will often call for a characteristic to be modified. To do this, simply add or subtract the modifier(s) shown to the characteristic, effectively increasing or decreasing the value."
Other Model Information,41,https://tow.whfb.app/model-profiles/other-model-information,"Rulebook, p. 98","In addition to its profile, a model's rules include other information vital to the game. What this is varies from model to model, and in many cases not all of the following information will be included for every model (not every model can use magic, for example)."
Points Value,42,https://tow.whfb.app/model-profiles/points-value,"Rulebook, p. 98","Almost every model will have a points value given within its profile. Points values reflect a model's worth within its army.Most models have a basic points value that increases as various optional items of equipment (weapons, armour, magic items, for example) are added. By adding together the points values of all of the models you have selected, you find the total points value of your army. Knowing this enables players to play evenly matched battles.Points values and the rules for building an army are explained in greater detail in the Warhammer Armies section."
Troop Type,43,https://tow.whfb.app/model-profiles/troop-type,"Rulebook, p. 98","All models have a troop type given as part of their rules. There are five broad categories of troop type: Infantry, Cavalry, Chariots, Monsters and War Machines, each of which is further divided into sub-categories.Additionally, some models have the word 'Character' in brackets after their troop type. This denotes that the model is a character, one of the brave and powerful heroes that lead an army.Troop types and their rules are explained in brief and in greater detail in the Advanced Rules. Characters are explained in greater detail in the Characters section."
Base Size,44,https://tow.whfb.app/model-profiles/base-size,"Rulebook, p. 98","With very few exceptions, all models used in a game of Warhammer: the Old World should be mounted upon a square or rectangular base, the dimensions of which are given here in millimetres (mm). Sometimes, a range of sizes will be given. In such cases, the base the model is provided with is the correct base to use.Base Sizes (Designer's note)As stated above, all models used in a game of Warhammer: the Old World should be mounted upon a correctly sized and shaped base. However, many players will have in their collections older models, the base sizes of which can vary. Whilst it is possible to play a game of Warhammer: the Old World without needing to re-base such models, in Matched Play events players are required to use correctly based models to ensure all aspects of the game are as fair as possible. To assist with re-basing an existing collection, separate bases are available as part of the Citadel Miniatures range."
Unit Size,45,https://tow.whfb.app/model-profiles/unit-size,"Rulebook, p. 98","This tells you how many models of this type form a unit. Most often, this will be presented as a number followed by a '+' symbol, 5+ for example, indicating that a unit made up of this type of model must contain at least five models.In some cases, this may be a number range, 5-30 for example, indicating that a unit made up of this type of model must contain at least five models, but no more than thirty. In other cases, most notably in the case of characters, chariots or monsters, this will be presented as a simple number, usually a '1', telling you exactly how many models make up the unit."
Armour Value (Model Profiles),46,https://tow.whfb.app/model-profiles/armour-value-model-profiles,"Rulebook, p. 98","Most models wear armour, and the type of armour they wear determines their armour value. However, in the case of large models with multiple riders or crew, such as monsters and chariots, an armour value is not always easy to determine. To avoid confusion, and if appropriate, such models will have an armour value given within their rules."
Equipment,47,https://tow.whfb.app/model-profiles/equipment,"Rulebook, p. 99","Almost all models carry equipment of some sort, from a simple sword or axe to an array of arms and armour. The equipment a model carries will be listed and is factored into its points value. Many models, particularly monsters, will have natural weapons listed as equipment, their claws, teeth and even breath weapons being the weapons they 'carry' into battle.The rules for many of the weapons and armour carried and worn by models can be found in the Weapons of War section."
Magic,48,https://tow.whfb.app/model-profiles/magic,"Rulebook, p. 99","In Warhammer: the Old World, many models represent powerful Wizards, able to bend the Winds of Magic to their will. Whilst not all models are able to wield such powers, those that can have this information within their rules. This details the Lore(s) of Magic they can choose spells from and their Level of Wizardry.Magic is explained in greater detail Magic section."
Options,49,https://tow.whfb.app/model-profiles/options,"Rulebook, p. 99","Many models have a number of options given. This includes a number of weapons they may be armed with, upgrades to their armour, and so forth. In the case of those models that form units, most have the option to upgrade some of their number to become command models."
Special Rules,50,https://tow.whfb.app/model-profiles/special-rules,"Rulebook, p. 99","In addition to the special rules associated with their troop type, many models have one or more special rules. These fall into three broad categories:Universal Special Rules: These are rules that appear in all armies, a full list of these can be found  in the Special Rules section. If a model has one or more universal special rules, their names will be listed as part of its rules.Army Special Rules: These are special rules unique to the army the model belongs to. If a model has one or more army special rules, their names will be listed as part of its rules.Unique Special Rules: Some models have special rules unique to them. If a model has one or more unique special rules, these will be listed as part of its rules.Note that army and unique special rules are included within each army list."
Magic Items,51,https://tow.whfb.app/model-profiles/magic-items,"Rulebook, p. 99","Some models, notably named characters, are equipped with their own unique magic items. Where this is the case, these items will be described and their rules given along with the model's."
Unique Equipment,52,https://tow.whfb.app/model-profiles/unique-equipment,"Rulebook, p. 99","Some models are equipped with items that are unique to them, equipment not found on any other models. In such cases, these items will be described and their rules given along with the model's."
Forming Units,53,https://tow.whfb.app/forming-units,"Rulebook, p. 100","The models that make up your army must be formed into 'units' before battle commences, ideally when writing your muster list. A unit usually consists of several models of the same type that have banded together and adopted a specific formation.Additionally, single, powerful models such as a character, a chariot or a Dragon, a war machine and its crew, and so on, are also considered to be a 'unit'. Therefore, whenever the rules that follow refer to 'units', this also includes units of one model."
Formation Types,54,https://tow.whfb.app/forming-units/formation-types,"Rulebook, p. 100","All units must adopt a formation. The type of formation a unit adopts will influence how it acts in battle; how it moves, how it fights, and so on. Each type of formation has its own rules.The type(s) of formation a unit can adopt are indicated by a special rule of the same name. Models with more than one such special rule may choose their formation during deployment, and may change it and adopt a different formation by reforming during the game.Close Order formations are by far the most usual. Therefore, the core 'how to play' rules focus upon such units. Examples of more unusual types of formation include Skirmish and Open Order, the rules for which are covered in the advanced rules section. Additionally, some army lists introduce special formation types unique to them."
Close Order Formation,55,https://tow.whfb.app/forming-units/close-order-formation,"Rulebook, p. 100","A unit arrayed in serried ranks is said to be in a 'Close Order' formation. A unit in Close Order consists of two or more models that are arranged in base contact with each other, edge-to-edge and front corner to front corner, as shown in Fig 100.1.All models in such a unit must face the same direction. In addition, the models must be arranged into a formation that consists of one or more horizontal rows called ranks, and a number of vertical rows called files (from this formation comes the term 'rank and file').As far as possible, there must be the same number of models in each rank. Where this is not possible, it must be the rear rank that has fewer models. Once formed into a unit, the models move and fight as a single entity for the entire battle.Fig 100.1"
Unit Shape (Close Order),56,https://tow.whfb.app/forming-units/unit-shape-close-order,"Rulebook, p. 101","The shape of a unit in Close Order is also important as such units gain bonuses in certain situations. Based upon this, such units can be said to be in Combat Order or in Marching Column."
Combat Order (Close Order),57,https://tow.whfb.app/forming-units/combat-order-close-order,"Rulebook, p. 101","A Close Order formation that is wider than it is deep (i.e., that has more models per rank than per file, as shown in Fig 101.1) or that is square (i.e., has the same number of models per file as per rank) is said to be in Combat Order. Such units are able to count a Rank Bonus in certain situations:Rank BonusIf a unit in Close Order formation is wide enough, it can claim a Rank Bonus of +1 for each rank behind the first, up to the maximum determined by its troop type:How many models a rank must contain to claim a Rank Bonus, as well as the maximum Rank Bonus a unit can claim, is determined by its troop type.Certain special rules may increase the Rank Bonus a unit can claim beyond the maximum normally allowed by its troop type.Note that this bonus can be claimed for an incomplete rear rank, as long as there are sufficient models in it. However, if your unit has become Disrupted it cannot claim a Rank Bonus.Combat Result BonusWhilst in Combat Order, a Close Order formation with a Unit Strength of 5 or more may claim a bonus of +1 combat result point.Fig 101.1 - This unit is wider than it is deep (i.e., it has more models per rank than it has per file). Therefore, this unit is said to be in 'Combat Order'."
Marching Column,58,https://tow.whfb.app/forming-units/marching-column,"Rulebook, p. 101","A unit that is deeper than it is wide (i.e., that has more models per file than per rank, as shown in Fig 101.2) is said to be in Marching Column. A Marching Column cannot claim a Rank Bonus and cannot make a charge move, but may triple its Movement characteristic when Marching.Fig 101.2 - This unit is deeper than it is wide (i.e., it has more models per file than it has per rank). Therefore, this unit is said to be in 'Marching Column'."
Disrupted Units,59,https://tow.whfb.app/forming-units/disrupted-units,"Rulebook, p. 101",Disruption represents a unit having lost some of its cohesion. A unit becomes Disrupted if:It is engaged in the flank or rear by an enemy unit with a Unit Strength of five or more.It ends its movement with a quarter (25%) or more of its models within difficult terrain or if it is straddling a low linear obstacle.A Disrupted unit cannot claim a Rank Bonus.Note that enemy Skirmishers do not cause Disruption.
Removing Casualties,60,https://tow.whfb.app/removing-casualties,"Rulebook, p. 102","Throughout the course of a game, models will suffer 'wounds' from enemy attacks (in combat, from shooting, from magic spells and so on). Some of these wounds will be saved by a model’s armour, but others will not.For each unsaved wound a model suffers, it loses one Wound from its profile. When a model is reduced to zero Wounds, it becomes a casualty and is removed from play."
Single Wound Models,61,https://tow.whfb.app/removing-casualties/single-wound-models,"Rulebook, p. 102","Most models have only a single Wound on their profile. When this is lost, they are removed from the battlefield as a casualty."
Multiple Wound Models,62,https://tow.whfb.app/removing-casualties/multiple-wound-models,"Rulebook, p. 102","Some models have more than one Wound on their profile. Should a unit of such models lose Wounds, you must remove as many whole models as possible. In other words, Wounds are lost by a single model until its Wounds characteristic is reduced to zero. Wounds are then lost by the next model, and so on. You cannot spread the loss of Wounds throughout the unit to avoid casualties.For example, a unit of Ogres, each with three Wounds on its profile (W3), loses five Wounds. One Ogre will lose all three of its Wounds and be removed as a casualty, and one Ogre will lose two Wounds, leaving it with only one Wound remaining."
Removing Casualties From Units,63,https://tow.whfb.app/removing-casualties/removing-casualties-from-units,"Rulebook, p. 102","When removing casualties, models are always removed from one end of the back rank, either left to right or from right to left, as the owning player prefers, ensuring where possible that the remaining models are adjacent to one another, as shown in Fig 102.1.Fig 102.1"
Stepping Forward,64,https://tow.whfb.app/removing-casualties/stepping-forward,"Rulebook, p. 102","Although models are removed from the back of their unit, very often the casualties will have fallen elsewhere, usually in the front or fighting rank. Removing models from the back of a unit represents warriors behind the front rank 'stepping forward' to fill gaps in the front rank.However, a model cannot make any form of attack (shooting or combat) during a phase in which it stepped forward. It is too busy clambering over the fallen bodies of its comrades."
Single Rank Units,65,https://tow.whfb.app/removing-casualties/single-rank-units,"Rulebook, p. 102","If a unit contains only a single rank, casualties must be removed evenly from either end of the rank."
Model & Unit Facing,66,https://tow.whfb.app/model-and-unit-facing,"Rulebook, p. 103","Most models have a front, flank and rear arc based on the direction they are facing. These arcs are used to determine what the model can see, and to determine the direction of an enemy charge.A model's front, flank and rear arcs extend out from the corners of its base at 45° angles, forming four 90° quadrants, as shown in Fig 103.1 below. A unit's facings are determined by the facing of its constituent models.Fig 103.1 - Whether a unit consists of one model or many, its facings are determined by its constituent models, as shown here.Models can only draw a line of sight to things that lie within their 'vision arc'. Unless stated otherwise, models have a 90° vision arc, corresponding to their front arc."
Line of Sight,67,https://tow.whfb.app/model-and-unit-facing/line-of-sight,"Rulebook, p. 103","You will often need to determine if one model or unit has a line of sight to another. To check a line of sight between models, stoop down to look from the model's point of view:If a straight, uninterrupted line can be drawn from within the model's vision arc to any part of the other model, there is a line of sight.If no such line can be drawn to the other model due to intervening terrain, or without crossing over or through another model, there is no line of sight.A model is always within its own vision arc and always has a line of sight to itself and its unit. If at least one model in a unit has a line of sight to at least one model from another unit, that unit can 'see' the other unit.Note that models and units always block line of sight. Therefore, it is normally only the models in the front rank of a unit that have a line of sight."
Obscured Line of Sight,68,https://tow.whfb.app/model-and-unit-facing/obscured-line-of-sight,"Rulebook, p. 103","Line of sight may be partly obscured by terrain features or by other models. In such cases, the other model or unit is said to be 'in cover'. To check if a model or unit is in cover, stoop down to look from the first model's point of view:If the other model or unit is fully visible, they are not in cover (i.e., they are 'in the open').If up to half of the other model or unit is obscured, they are in partial cover.If more than half of the other model or unit is obscured, they are in full cover.The benefits of partial and full cover are discussed in more detail under the rules for shooting."
Troop Types at a Glance,69,https://tow.whfb.app/troop-types-at-a-glance,"Rulebook, p. 104","As mentioned previously, all models have a troop type. These, along with the type of formation units of such models adopt, determine how they function throughout the rules (as well as providing an insight into the role such models fulfil upon the battlefield). Troop types and their rules are explained in greater detail in the advanced rules. The following sections present some brief but important information needed to better understand the core 'how to play' rules that follow."
Categories of Troop Type (at a Glance),70,https://tow.whfb.app/troop-types-at-a-glance/categories-of-troop-type-at-a-glance,"Rulebook, p. 104","There are five main categories of troop type, each of which is further divided into sub-categories. For example, particularly large Infantry fall into the Monstrous Infantry sub-category of Infantry. In such cases, when the rules refer to Infantry units, Monstrous Infantry must also follow those rules unless an exception is stated for Monstrous Infantry.A model’s troop type determines the minimum number of such models a rank must contain to claim a Rank Bonus, the maximum Rank Bonus a unit of such models is able to claim, and the Unit Strength of such a model, as shown on the Troop Type Table.InfantryInfantry includes all units of foot troops, be they Goblins, Men, Ogres, Trolls or any other of the myriad Warhammer races fighting on foot. Infantry forms the backbone of most armies and is split into four sub-categories: Regular Infantry, Heavy Infantry, Monstrous Infantry and Swarms.CavalryThe term cavalry refers to any riders mounted on war beasts – commonly warhorses or similar creatures. It can also include war beasts on their own as packs of animals which will often function in a manner more similar to cavalry than infantry. Cavalry is split into four sub-categories: Light Cavalry, Heavy Cavalry, Monstrous Cavalry and War Beasts.ChariotsA chariot is usually a wheeled war vehicle drawn into battle by beasts of some kind and crewed by warriors, armed to the teeth. This category can also include large objects, such as mobile altars, that are pushed along or carried. Chariots are split into two sub-categories: Light Chariots and Heavy Chariots.MonstersMonsters are the largest beings in the Warhammer world, creatures so powerful that they usually roam the battlefield alone. In spite of this, due to their size they function as Close Order units, rather than as Skirmishers. This category includes Dragons, Gryphons and so on. Monsters are split into two sub-categories: Monstrous Creatures and Behemoths.War MachinesWar machines such as cannon and bolt throwers are powerful units on the field of battle, able to pulverise whole regiments, breach stone walls or even slay fearsome monsters with a single, well-placed shot. This is a broad category with varied rules that cover the many different weapons to be found in the Warhammer world, the most commonly seen of which are dealt with in their own section."
Troop Type Table,71,https://tow.whfb.app/troop-types-at-a-glance/troop-type-table,"Rulebook, p. 105","This table summarises the most important information for each troop type. More detail is given in the Advanced Rules section. Referencing this table will help you to better understand some of the rules contained in the core 'how to play' rules.Troop TypeModels per Rank*Maximum Rank Bonus**Unit Strength per ModelInfantry—————————Regular Infantry5+21Heavy Infantry4+21Monstrous Infantry3+23Swarms--3Cavalry—————————Light Cavalry5+12Heavy Cavalry4+12Monstrous Cavalry3+13War Beasts5+11Chariots—————————Light Chariots3+13Heavy Chariots--5Monsters—————————Monstrous Creatures--As Starting WoundsBehemoths--As Starting WoundsWar Machines—————————War Machines--As Starting Wounds*Note that this is the minimum number required to claim a Rank Bonus. Ranks can contain more or fewer models as you wish, but in order for a rank to count towards Rank Bonus, it must contain at least this many models.**Note that in some cases the maximum Rank Bonus a unit can claim can be increased by special rules. The maximum Rank Bonus a unit can claim can also be reduced by its formation, by spell effects, or by terrain."
